Date,High,Low,Open,Close,Volume,Adj Close,ticker
2018-05-18,811176.9992217652,800689.7776488892,808443.39659115,804774.2855376832,142718556.0,756825.37650242,My Portfolio
2018-05-21,813338.9017149231,803605.9231077454,808294.7720609924,809710.9699522278,84590387.0,761435.186696646,My Portfolio
2018-05-22,819757.6309903504,808720.0504697205,811672.1918729187,815161.084145868,125616835.0,766472.4794953095,My Portfolio
2018-05-23,819025.4902271668,806951.4177631775,814742.7737354676,807911.5824970643,177144707.0,759659.0248668427,My Portfolio
2018-05-24,796031.5403871154,781785.0952882385,794127.9668702697,782015.0205506897,98446688.0,735010.3492560273,My Portfolio
2018-05-25,805007.8545123383,797470.818364267,801880.0462542817,802618.8550311371,93118423.0,754731.4354366546,My Portfolio
2018-05-28,4822.745115661621,4822.745115661621,4822.745115661621,4822.745115661621,0.0,4755.421502685546,My Portfolio
2018-05-29,800692.0840138214,784482.6747273224,800008.0657795685,787917.6334980744,130988814.0,740887.1328582519,My Portfolio
2018-05-30,793605.9054268159,785649.1671760834,789576.5494545258,791820.0813911713,85456675.0,744519.8122902862,My Portfolio
2018-05-31,798338.0833817169,785691.4946213409,794873.8412857696,788204.0593491241,154084496.0,741196.3526907654,My Portfolio
2018-06-01,800932.8824084899,790248.7173236511,795578.74329411,796333.7024158142,115264247.0,748796.1177163573,My Portfolio
2018-06-04,805195.2518135865,793808.8684822876,794814.7860237915,802059.1656777222,100994731.0,753935.426592984,My Portfolio
2018-06-05,793256.193274887,783652.9564279632,789990.7773050384,789536.9002908783,91247971.0,742138.579320694,My Portfolio
2018-06-06,811255.6523562225,797696.4125338348,804918.7064028534,808317.249905661,115460706.0,760072.8282777832,My Portfolio
2018-06-07,809284.6364667146,792492.8257672517,804263.9329602448,794079.5234906403,184836668.0,758959.3914188172,My Portfolio
2018-06-08,798751.7667896088,787366.0427600677,792004.8653919037,792689.6146899994,143755830.0,757652.9702935943,My Portfolio
2018-06-11,787717.3020540619,777323.4904695892,780913.25784935,783241.3752046967,103082774.0,748537.6581101532,My Portfolio
2018-06-12,802936.6188404999,795207.4472554169,801729.6188404999,797222.9591877899,93439106.0,761975.0070043274,My Portfolio
2018-06-13,801517.3056825928,789646.3302339844,797762.9556764893,794334.4635652832,105986400.0,759142.5311702332,My Portfolio
2018-06-14,805836.2378399719,789738.5634472717,791437.8652050842,803780.7367871155,125188718.0,768167.4806313263,My Portfolio
2018-06-15,804314.180205948,791138.4080959626,802086.0742336579,792619.3333584138,184603848.0,757509.863263919,My Portfolio
2018-06-18,797997.8078740112,786393.8008549683,791864.0027897827,789799.8513768188,82820239.0,754848.5456323304,My Portfolio
2018-06-19,794201.6880848755,781376.5428212036,784857.8135273803,789805.8272145141,125033786.0,754869.0429028138,My Portfolio
2018-06-20,802344.2557156463,793304.0058987518,795264.3715145965,796543.186944284,84752602.0,761255.7804202851,My Portfolio
2018-06-21,800973.8300845856,788029.5239475006,798467.4786899323,791349.3860538239,94586650.0,756260.0715558135,My Portfolio
2018-06-22,806042.3916455933,790899.4654981324,793601.7979566285,802961.1390058228,75498861.0,767349.5002415344,My Portfolio
2018-06-25,803103.0072414185,790351.0077602173,799381.0868922974,794331.912148645,102755055.0,759053.4439831238,My Portfolio
2018-06-26,797483.8919328003,786541.2491257935,794434.0194810181,791388.0766709595,108376134.0,756224.2067322357,My Portfolio
2018-06-27,794421.4370946533,779507.2616490966,791130.5279760009,790630.0195531494,118210883.0,755546.4542192139,My Portfolio
2018-06-28,790378.4534080506,779246.2927024842,785894.7070854187,785095.9009483338,72871569.0,753288.8237046356,My Portfolio
2018-06-29,797777.550806833,785783.2287090546,791515.3622082002,788215.3906353242,96671292.0,756254.9600678405,My Portfolio
2018-07-02,787574.7072256164,775386.8281057434,782886.7491567688,778019.4724844055,97028556.0,746512.7346441436,My Portfolio
